Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|NH3,Mt NH3/yr,,,,,,,,,,,,,28.66578591,,,,,26.3677954,21.96696143,,,,,,18.67986765,,16.64291764,,15.47378237,,15.49106935,,14.29951459,,13.54791465,,13.30959643,,12.8868444
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|NOx,Mt NO2/yr,,,,,,,,,,,,,37.09449529,,,,,39.84817029,36.5313258,,,,,,16.20902148,,10.00358258,,6.792543803,,5.737669265,,5.211707581,,4.677466713,,4.071107163,,3.487070567
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|OC,Mt OC/yr,,,,,,,,,,,,,11.69657656,,,,,11.13029796,10.20529267,,,,,,3.557616706,,2.897310666,,2.482938457,,2.270651682,,2.332335629,,2.09613581,,1.624226009,,1.233533455
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|SF6,kt SF6/yr,,,,,,,,,,,,,3.575952258,,,,,4.641344729,4.905057101,,,,,,2.010174928,,1.729247253,,1.051674473,,0.665711584,,0.294245537,,0.212941139,,0.175292577,,0.14467103
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|Sulfur,Mt SO2/yr,,,,,,,,,,,,,50.76725615,,,,,52.85618417,46.83753596,,,,,,20.8935896,,12.21220629,,7.840384272,,6.359486275,,5.583998338,,4.888693677,,4.122901626,,3.38703124
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Emissions|VOC,Mt VOC/yr,,,,,,,,,,,,,66.712918,,,,,67.38704763,65.65765861,,,,,,41.6272697,,38.74752673,,36.83851663,,35.88642034,,35.83146614,,34.39051848,,31.79697559,,29.71266409
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Energy Service|Residential and Commercial|Commercial|Floor Space,bn m2/yr,,,,,,,,,,,,,0,,,,,0,28.5,,,,,,33.36423864,,37.78570346,,41.54265214,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Energy Service|Residential and Commercial|Residential|Floor Space,bn m2/yr,,,,,,,,,,,,,0,,,,,0,91.8,,,,,,106.1815665,,119.0387874,,129.7451068,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Energy Service|Transportation|Freight,bn tkm/yr,,,,,,,,,,,,,0,,,,,0,20200,,,,,,23958.55587,,27427.00814,,30426.99819,,0,,0,,0,,0,,0
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Energy Service|Transportation|Passenger,bn pkm/yr,,,,,,,,,,,,,0,,,,,0,21600,,,,,,28964.14205,,36273.29257,,43108.71285,,0,,0,,0,,0,,0
